2009-10-21 10:54:45,7,7
2009-10-21 09:51:59,2,2
2009-10-21 08:22:57,6,6
2009-10-14 15:26:53,5,5
2009-10-14 08:01:29,3,3
2009-10-13 23:25:18,7,7
2009-10-13 23:24:28,5,5
2009-10-13 23:23:27,2,2
2009-10-13 23:22:31,9,9
2009-10-13 23:22:10,5,5
2009-10-13 23:21:26,5,5
2009-10-13 13:47:28,1,1
2009-10-12 09:43:25,100,100
2009-10-12 09:22:52,1,1
2009-10-12 09:18:14,1,1
2009-10-12 09:11:05,1,1
2009-10-11 09:12:41,1,1
2009-10-10 09:12:41,1,1
2009-10-09 09:12:41,4,4
2009-09-09 09:12:41,10,10
2009-03-12 11:41:04,3,3
2009-03-04 11:41:04,3,3
